stamp	20260923-072050
object_dir	/tmp/blariyo-collector-objects-21-20260923-072050
log_file	apps/collector/ops/reports/local-21-hot-run-20260923-072050.log
arcalive	0	2026-09-23T07:20:50+0900	2026-09-23T07:22:07+0900
bobaedream	3	2026-09-23T07:22:22+0900	2026-09-23T07:23:34+0900
clien	3	2026-09-23T07:23:34+0900	2026-09-23T07:24:28+0900
dcinside	1	2026-09-23T07:24:28+0900	2026-09-23T07:25:03+0900
dmitory	0	2026-09-23T07:25:03+0900	2026-09-23T07:26:09+0900
dogdrip	3	2026-09-23T07:26:09+0900	2026-09-23T07:27:25+0900
etoland	3	2026-09-23T07:27:25+0900	2026-09-23T07:28:26+0900
goodgag	0	2026-09-23T07:28:26+0900	2026-09-23T07:29:27+0900
humoruniv	3	2026-09-23T07:29:27+0900	2026-09-23T07:30:14+0900
instiz	0	2026-09-23T07:30:14+0900	2026-09-23T07:31:36+0900
inven	3	2026-09-23T07:31:36+0900	2026-09-23T07:32:41+0900
mlbpark	0	2026-09-23T07:32:41+0900	2026-09-23T07:33:41+0900
natepann	0	2026-09-23T07:33:41+0900	2026-09-23T07:34:52+0900
ruliweb	0	2026-09-23T07:34:52+0900	2026-09-23T07:36:04+0900
theqoo	1	2026-09-23T07:36:04+0900	2026-09-23T07:36:37+0900
todayhumor	0	2026-09-23T07:36:37+0900	2026-09-23T07:37:50+0900
yuldo	0	2026-09-23T07:37:50+0900	2026-09-23T07:39:12+0900
fmkorea	2	2026-09-23T07:39:12+0900	2026-09-23T07:39:12+0900
pgr21	2	2026-09-23T07:39:12+0900	2026-09-23T07:39:13+0900
ppomppu	2	2026-09-23T07:39:13+0900	2026-09-23T07:39:13+0900
youtube-community	2	2026-09-23T07:39:13+0900	2026-09-23T07:39:13+0900
